Destination,Sights & Landmarks,Museums,Tours & Activities,Nature & Parks,Amusement Parks,Nightlife,Outdoor Activities,Shopping,Fun & Games,Theatre & Concerts,Boat Tours & Water Sports,Food & Drink,Spas & Wellness,Casinos & Gambling,Transportation,Classes & Workshops,Traveller Resources,Zoos & Aquariums,Events,Sights & Landmarks Rank,Museums Rank,Tours & Activities Rank,Nature & Parks Rank,Amusement Parks Rank,Nightlife Rank,Outdoor Activities Rank,Shopping Rank,Fun & Games Rank,Theatre & Concerts Rank,Boat Tours & Water Sports Rank,Food & Drink Rank,Spas & Wellness Rank,Casinos & Gambling Rank,Transportation Rank,Classes & Workshops Rank,Traveller Resources Rank,Zoos & Aquariums Rank,Events Rank
York,81,30,51,19,6,51,22,45,14,5,2,8,17,1,2,6,4,0,0,13,3,7,12,19,,14,2,30,10,8,4,13,12,6,8,20,14,5
Newcastle,30,22,20,14,0,133,15,40,30,13,2,8,14,4,1,4,8,1,0,28,27,27,30,1,10,31,23,5,5,33,15,21,3,9,16,14,4,5
Leeds,48,15,11,20,0,157,25,38,29,13,2,7,21,1,0,6,2,0,0,16,5,10,15,6,9,6,4,14,6,4,15,2,7,9,3,14,6,5
Hull,10,15,3,9,0,51,5,9,13,6,0,3,4,1,1,2,1,1,0,6,6,6,5,14,5,3,11,4,2,8,2,11,22,9,2,5,2,2
Derby,14,11,5,4,0,59,12,3,12,3,0,7,1,0,0,2,2,0,0,3,17,9,6,19,17,19,16,18,18,14,7,16,22,9,20,8,14,5
Skegness,5,2,3,10,2,12,8,1,13,1,1,3,0,1,1,0,0,3,0,12,20,18,14,19,14,23,3,25,28,14,19,13,22,22,11,34,6,5
Loughborough,2,2,2,6,0,11,4,1,9,2,1,2,0,0,0,3,0,0,0,11,7,8,6,10,12,8,12,9,10,6,4,6,22,4,11,5,14,5
Nottingham,29,16,21,18,0,132,28,28,49,13,5,8,15,7,1,2,1,0,0,21,23,20,15,19,24,23,17,18,20,22,19,10,9,22,20,14,6,5
Brighton,29,28,34,14,3,124,28,48,18,15,14,5,32,3,2,10,2,1,0,21,19,27,36,19,15,26,35,23,23,33,12,29,22,22,20,14,14,5
Cambridge,75,14,36,20,0,54,19,22,13,6,5,8,6,0,2,2,4,0,0,39,36,40,39,19,38,36,32,38,33,33,36,34,22,22,33,34,14,5
Canterbury,35,10,15,17,0,66,13,51,9,2,5,3,8,0,0,4,0,1,0,21,24,27,25,19,23,32,36,36,37,22,30,24,22,6,20,34,14,5
Dover,14,6,5,10,0,41,5,2,3,0,2,1,3,0,3,2,0,0,0,18,24,18,30,6,22,20,20,14,16,19,7,16,12,22,8,14,14,5
Norwich,39,22,23,31,1,76,26,28,22,11,11,2,9,0,1,1,4,0,0,31,28,13,18,19,27,5,24,28,22,3,26,25,22,9,8,20,6,5
London,550,294,549,136,3,1265,148,601,262,312,49,134,234,17,90,105,31,6,4,31,32,33,33,19,40,38,32,38,37,33,30,34,22,22,33,20,14,5
Oxford,73,16,46,19,0,59,20,31,19,7,5,9,6,0,5,2,5,0,0,26,14,33,28,19,19,32,24,18,18,33,19,21,12,15,20,20,6,5
Leicester,30,15,2,13,1,78,7,12,23,10,1,6,6,4,1,9,4,0,0,39,38,36,41,19,40,38,41,38,37,29,36,34,22,22,33,34,14,5
Exeter,22,6,15,8,3,45,15,13,18,8,3,8,6,1,0,5,2,0,0,26,21,20,18,14,35,13,18,28,33,8,30,29,22,22,11,20,14,5
Bath,31,29,41,18,0,48,23,62,6,11,7,10,8,1,3,5,1,0,0,7,14,22,6,19,4,11,9,8,7,22,12,5,12,22,5,14,14,5
Newquay,6,3,45,13,5,18,58,5,5,1,38,1,2,0,0,3,1,2,0,14,14,36,18,14,11,29,21,10,14,29,14,16,5,15,4,8,14,5
Torquay,13,6,7,10,2,31,14,8,13,3,4,1,4,1,1,0,0,1,0,5,11,2,6,6,3,11,10,3,3,13,15,4,3,4,16,8,14,2
Bristol,52,24,42,25,1,155,55,36,39,23,7,16,10,0,2,12,5,4,1,39,38,31,39,19,38,38,36,38,37,33,36,34,22,22,33,20,14,5
Salford,7,4,5,3,0,11,3,5,10,2,2,0,2,2,0,0,1,0,0,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
falmouth,5,4,22,13,0,21,30,9,7,4,21,2,2,0,2,5,1,1,0,38,32,36,32,19,31,35,39,25,28,29,26,34,22,22,16,34,14,5
Plymouth,46,22,18,35,4,126,31,44,20,11,10,2,7,2,6,2,6,1,0,8,3,11,22,19,2,16,6,6,4,22,3,3,7,6,5,3,14,2
Penzance,20,9,9,12,0,11,13,12,5,3,3,1,1,1,0,1,1,0,0,35,38,40,38,19,34,38,28,32,23,33,36,34,22,22,29,34,14,5
Pitlochry,4,3,4,9,0,2,5,8,3,2,0,3,1,0,0,0,1,0,0,14,7,15,15,19,6,20,8,7,7,22,7,9,5,15,11,2,6,5
Lochalsh,1,0,4,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,30,30,5,18,4,28,2,28,32,33,2,30,25,22,22,16,20,4,5
Dornoch,1,1,0,1,0,1,3,4,0,1,0,0,0,0,0,0,0,0,0,10,7,12,3,14,12,10,14,11,10,5,26,12,22,15,29,8,14,5
Blackpool,7,5,5,8,11,91,6,11,38,19,0,5,4,5,2,3,2,2,0,16,12,14,12,19,7,6,14,2,7,14,7,8,2,15,20,20,14,5
Keswick,10,9,13,13,1,4,24,14,7,1,7,1,1,0,0,4,1,0,0,4,12,4,10,19,15,16,13,13,17,14,6,16,22,3,20,5,14,5
Manchester,46,29,26,12,0,196,20,44,33,20,2,13,29,3,3,6,6,0,1,24,36,22,22,19,29,16,28,25,28,8,19,25,22,22,11,20,14,5
Liverpool,55,20,64,20,3,174,25,37,44,22,6,5,25,5,4,3,4,0,1,20,21,24,22,19,31,23,21,32,23,19,30,29,12,22,29,20,14,5
Chester,14,7,13,14,0,40,13,17,13,5,2,3,12,2,0,2,2,1,0,35,30,31,28,19,36,32,26,36,28,33,19,29,22,22,33,20,14,5
Windermere,4,0,9,5,1,2,10,2,4,0,3,0,0,0,0,1,1,0,0,8,7,16,2,5,8,4,6,12,10,6,26,15,9,2,20,3,6,5
Penrith,13,1,11,12,0,13,20,5,9,2,7,3,2,0,0,4,1,0,0,28,28,27,37,19,31,36,28,24,28,22,36,25,9,22,33,20,14,5
Southport,5,2,1,5,6,25,7,4,6,3,0,4,5,1,0,0,1,0,0,31,32,33,25,10,30,28,39,18,33,29,19,34,12,15,33,34,3,5
Morecambe,4,0,0,2,0,6,1,5,5,3,0,0,0,0,0,1,0,0,0,31,32,39,33,2,26,29,32,30,23,33,18,20,12,22,33,20,14,5
Grasmere,5,2,3,5,0,0,1,4,0,0,0,1,0,0,0,0,1,0,0,18,18,17,4,10,18,8,18,16,15,8,19,29,12,22,20,8,14,5
Cardiff,36,22,39,20,2,76,27,34,27,11,10,10,19,0,4,4,5,0,0,24,24,26,25,10,25,22,26,18,23,18,30,21,12,15,33,34,6,5
Swansea,22,13,17,26,2,52,27,14,14,9,7,3,1,1,0,2,4,0,0,35,38,24,33,14,36,27,36,35,37,19,36,34,22,22,29,20,14,5
John O'Groats,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,3,10,2,19,15,5,16,20,22,7,7,12,9,5,8,14,5
